ensg_id	gene_symbol	pmtl	latest_gene_symbol
ENSG00000116198	CEP104	NA	CEP104
ENSG00000169598	DFFB	NA	DFFB
ENSG00000198912	C1orf174	NA	C1orf174
ENSG00000236423	LINC01134	NA	LINC01134
ENSG00000233304	LINC01346	NA	LINC01346
ENSG00000226374	LINC01345	NA	LINC01345
ENSG00000229280	EEF1DP6	NA	EEF1DP6
ENSG00000235054	LINC01777	NA	LINC01777
ENSG00000232596	LINC01646	NA	LINC01646
ENSG00000196581	AJAP1	NA	AJAP1
ENSG00000264101	MIR4689	NA	MIR4689
ENSG00000131697	NPHP4	NA	NPHP4
ENSG00000069424	KCNAB2	NA	KCNAB2
ENSG00000116254	CHD5	NA	CHD5
ENSG00000116251	RPL22	NA	RPL22
ENSG00000158286	RNF207	NA	RNF207
ENSG00000116237	ICMT	NA	ICMT
ENSG00000225077	LINC00337	NA	LINC00337
ENSG00000173673	HES3	NA	HES3
ENSG00000158292	GPR153	NA	GPR153
ENSG00000097021	ACOT7	NA	ACOT7
ENSG00000069812	HES2	NA	HES2
ENSG00000187017	ESPN	NA	ESPN
ENSG00000265392	MIR4252	NA	MIR4252
ENSG00000215788	TNFRSF25	NA	TNFRSF25
ENSG00000171680	PLEKHG5	NA	PLEKHG5
ENSG00000162408	NOL9	NA	NOL9
ENSG00000253022	RNU6-731P	NA	RNU6-731P
ENSG00000173662	TAS1R1	NA	TAS1R1
ENSG00000204859	ZBTB48	NA	ZBTB48
ENSG00000162413	KLHL21	NA	KLHL21
ENSG00000116273	PHF13	NA	PHF13
ENSG00000041988	THAP3	NA	THAP3
ENSG00000007923	DNAJC11	NA	DNAJC11
ENSG00000228750	LINC01672	NA	LINC01672
ENSG00000171735	CAMTA1	NA	CAMTA1
ENSG00000207056	RNU1-8P	NA	RNU1-8P
ENSG00000237402	CAMTA1-IT1	NA	CAMTA1-IT1
ENSG00000049245	VAMP3	NA	VAMP3
ENSG00000049246	PER3	NA	PER3
ENSG00000049247	UTS2	NA	UTS2
ENSG00000049249	TNFRSF9	NA	TNFRSF9
ENSG00000116288	PARK7	NA	PARK7
ENSG00000200344	Y_RNA	NA	Y_RNA
ENSG00000116285	ERRFI1	NA	ERRFI1
ENSG00000227634	LINC01714	NA	LINC01714
ENSG00000200975	RNU1-7P	NA	RNU1-7P
ENSG00000251977	RNU6-991P	NA	RNU6-991P
ENSG00000162426	SLC45A1	NA	SLC45A1
ENSG00000252254	Y_RNA	NA	Y_RNA
ENSG00000142599	RERE	NA	RERE
ENSG00000234619	RPL7P11	NA	RPL7P11
ENSG00000224315	RPL7P7	NA	RPL7P7
ENSG00000222511	Y_RNA	NA	Y_RNA
ENSG00000229716	RPL23AP19	NA	RPL23AP19
ENSG00000074800	ENO1	NA	ENO1
ENSG00000274258	MIR6728	NA	MIR6728
ENSG00000236269	ENO1-IT1	NA	ENO1-IT1
ENSG00000230679	ENO1-AS1	NA	ENO1-AS1
ENSG00000201725	RNU6-304P	NA	RNU6-304P
ENSG00000238249	HMGN2P17	NA	HMGN2P17
ENSG00000131686	CA6	NA	CA6
ENSG00000265141	RN7SL451P	NA	RN7SL451P
ENSG00000197241	SLC2A7	NA	SLC2A7
ENSG00000142583	SLC2A5	NA	SLC2A5
ENSG00000180758	GPR157	NA	GPR157
ENSG00000228526	MIR34AHG	NA	MIR34AHG
ENSG00000284357	MIR34A	NA	MIR34A
ENSG00000281937	Z98044.1	NA	Z98044.1
ENSG00000049239	H6PD	NA	H6PD
ENSG00000171621	SPSB1	NA	SPSB1
ENSG00000252956	RNA5SP40	NA	RNA5SP40
ENSG00000171612	SLC25A33	NA	SLC25A33
ENSG00000188807	TMEM201	NA	TMEM201
ENSG00000171608	PIK3CD	NA	PIK3CD
ENSG00000179840	PIK3CD-AS1	NA	PIK3CD-AS1
ENSG00000231789	PIK3CD-AS2	NA	PIK3CD-AS2
ENSG00000171603	CLSTN1	NA	CLSTN1
ENSG00000271264	MZT1P1	NA	MZT1P1
ENSG00000178585	CTNNBIP1	NA	CTNNBIP1
ENSG00000162441	LZIC	NA	LZIC
ENSG00000173614	NMNAT1	NA	NMNAT1
ENSG00000202415	RN7SKP269	NA	RN7SKP269
ENSG00000265521	MIR5697	NA	MIR5697
ENSG00000162444	RBP7	NA	RBP7
ENSG00000130939	UBE4B	NA	UBE4B
ENSG00000233623	PGAM1P11	NA	PGAM1P11
ENSG00000201746	RNU6-828P	NA	RNU6-828P
ENSG00000054523	KIF1B	NA	KIF1B
ENSG00000199562	RNU6-37P	NA	RNU6-37P
ENSG00000264501	RN7SL731P	NA	RN7SL731P
ENSG00000142657	PGD	NA	PGD
ENSG00000251503	CENPS-CORT	NA	CENPS-CORT
ENSG00000175279	CENPS	NA	CENPS
ENSG00000241563	CORT	NA	CORT
ENSG00000160049	DFFA	NA	DFFA
ENSG00000142655	PEX14	NA	PEX14
ENSG00000243267	RN7SL614P	NA	RN7SL614P
ENSG00000130940	CASZ1	NA	CASZ1
ENSG00000225158	HSPE1P24	NA	HSPE1P24
ENSG00000175262	C1orf127	NA	C1orf127
ENSG00000215785	CFL1P6	NA	CFL1P6
ENSG00000120948	TARDBP	NA	TARDBP
ENSG00000277726	AL109811.4	NA	AL109811.4
ENSG00000009724	MASP2	NA	MASP2
ENSG00000271895	AL109811.3	NA	AL109811.3
ENSG00000116649	SRM	NA	SRM
ENSG00000171824	EXOSC10	NA	EXOSC10
ENSG00000198793	MTOR	NA	MTOR
ENSG00000225602	MTOR-AS1	NA	MTOR-AS1
ENSG00000253086	RNU6-537P	NA	RNU6-537P
ENSG00000171819	ANGPTL7	NA	ANGPTL7
ENSG00000207451	RNU6-291P	NA	RNU6-291P
ENSG00000238173	RPL39P6	NA	RPL39P6
ENSG00000120942	UBIAD1	NA	UBIAD1
ENSG00000238199	UBE2V2P3	NA	UBE2V2P3
ENSG00000224338	MTCYBP45	NA	MTCYBP45
ENSG00000204624	DISP3	NA	DISP3
ENSG00000235643	LINC01647	NA	LINC01647
ENSG00000116661	FBXO2	NA	FBXO2
ENSG00000132879	FBXO44	NA	FBXO44
ENSG00000116663	FBXO6	NA	FBXO6
ENSG00000116670	MAD2L2	NA	MAD2L2
ENSG00000162490	DRAXIN	NA	DRAXIN
ENSG00000177674	AGTRAP	NA	AGTRAP
ENSG00000215910	C1orf167	NA	C1orf167
ENSG00000177000	MTHFR	NA	MTHFR
ENSG00000011021	CLCN6	NA	CLCN6
ENSG00000242349	NPPA-AS1	NA	NPPA-AS1
ENSG00000175206	NPPA	NA	NPPA
ENSG00000120937	NPPB	NA	NPPB
ENSG00000199347	RNU5E-1	NA	RNU5E-1
ENSG00000201801	RNU5E-4P	NA	RNU5E-4P
ENSG00000116685	KIAA2013	NA	KIAA2013
ENSG00000083444	PLOD1	NA	PLOD1
ENSG00000116688	MFN2	NA	MFN2
ENSG00000116691	MIIP	NA	MIIP
ENSG00000202461	Y_RNA	NA	Y_RNA
ENSG00000276869	MIR6729	NA	MIR6729
ENSG00000243539	RN7SL649P	NA	RN7SL649P
ENSG00000120949	TNFRSF8	NA	TNFRSF8
ENSG00000201135	RNU6-777P	NA	RNU6-777P
ENSG00000227875	RPL23AP89	NA	RPL23AP89
ENSG00000283789	MIR7846	NA	MIR7846
ENSG00000028137	TNFRSF1B	NA	TNFRSF1B
ENSG00000263676	MIR4632	NA	MIR4632
ENSG00000225196	RPL10P17	NA	RPL10P17
ENSG00000252969	SNORA70	NA	SNORA70
ENSG00000048707	VPS13D	NA	VPS13D
ENSG00000239149	SNORA59A	NA	SNORA59A
ENSG00000162496	DHRS3	NA	DHRS3
ENSG00000221340	RNU6ATAC18P	NA	RNU6ATAC18P
ENSG00000276830	MIR6730	NA	MIR6730
ENSG00000204518	AADACL4	NA	AADACL4
ENSG00000188984	AADACL3	NA	AADACL3
ENSG00000157330	C1orf158	NA	C1orf158
ENSG00000116726	PRAMEF12	NA	PRAMEF12
ENSG00000116721	PRAMEF1	NA	PRAMEF1
ENSG00000228338	LINC01784	NA	LINC01784
ENSG00000239810	PRAMEF11	NA	PRAMEF11
ENSG00000231103	PRAMEF30P	NA	PRAMEF30P
ENSG00000179172	HNRNPCL1	NA	HNRNPCL1
ENSG00000120952	PRAMEF2	NA	PRAMEF2
ENSG00000243073	PRAMEF4	NA	PRAMEF4
ENSG00000187545	PRAMEF10	NA	PRAMEF10
ENSG00000204510	PRAMEF7	NA	PRAMEF7
ENSG00000207434	RNU6-1072P	NA	RNU6-1072P
ENSG00000234064	PRAMEF29P	NA	PRAMEF29P
ENSG00000232423	PRAMEF6	NA	PRAMEF6
ENSG00000274178	PRAMEF28P	NA	PRAMEF28P
ENSG00000274764	PRAMEF27	NA	PRAMEF27
ENSG00000277058	HNRNPCL3	NA	HNRNPCL3
ENSG00000229571	PRAMEF25	NA	PRAMEF25
ENSG00000277862	PRAMEF34P	NA	PRAMEF34P
ENSG00000236179	PRAMEF35P	NA	PRAMEF35P
ENSG00000275774	HNRNPCL2	NA	HNRNPCL2
ENSG00000229978	PRAMEF36P	NA	PRAMEF36P
ENSG00000280267	PRAMEF26	NA	PRAMEF26
ENSG00000179412	HNRNPCL4	NA	HNRNPCL4
ENSG00000204505	PRAMEF9	NA	PRAMEF9
ENSG00000279169	PRAMEF13	NA	PRAMEF13
ENSG00000279804	PRAMEF18	NA	PRAMEF18
ENSG00000250894	PRAMEF31P	NA	PRAMEF31P
ENSG00000270601	PRAMEF5	NA	PRAMEF5
ENSG00000231219	PRAMEF32P	NA	PRAMEF32P
ENSG00000182330	PRAMEF8	NA	PRAMEF8
ENSG00000237700	PRAMEF33	NA	PRAMEF33
ENSG00000204501	PRAMEF15	NA	PRAMEF15
ENSG00000204481	PRAMEF14	NA	PRAMEF14
ENSG00000204480	PRAMEF19	NA	PRAMEF19
ENSG00000204479	PRAMEF17	NA	PRAMEF17
ENSG00000204478	PRAMEF20	NA	PRAMEF20
ENSG00000162494	LRRC38	NA	LRRC38
ENSG00000215909	BRWD1P1	NA	BRWD1P1
ENSG00000162493	PDPN	NA	PDPN
ENSG00000222952	RNA5SP41	NA	RNA5SP41
ENSG00000116731	PRDM2	NA	PRDM2
ENSG00000189337	KAZN	NA	KAZN
ENSG00000252151	RNU6-1265P	NA	RNU6-1265P
ENSG00000235829	TBCAP2	NA	TBCAP2
ENSG00000175147	TMEM51-AS1	NA	TMEM51-AS1
ENSG00000171729	TMEM51	NA	TMEM51
ENSG00000142621	FHAD1	NA	FHAD1
ENSG00000142634	EFHD2	NA	EFHD2
ENSG00000162438	CTRC	NA	CTRC
ENSG00000142615	CELA2A	NA	CELA2A
ENSG00000215704	CELA2B	NA	CELA2B
ENSG00000132906	CASP9	NA	CASP9
ENSG00000116138	DNAJC16	NA	DNAJC16
ENSG00000251866	SCARNA21B	NA	SCARNA21B
ENSG00000116771	AGMAT	NA	AGMAT
ENSG00000235084	CHCHD2P6	NA	CHCHD2P6
ENSG00000252417	RNU7-179P	NA	RNU7-179P
ENSG00000236500	CD24P1	NA	CD24P1
ENSG00000197312	DDI2	NA	DDI2
ENSG00000215695	RSC1A1	NA	RSC1A1
ENSG00000116786	PLEKHM2	NA	PLEKHM2
ENSG00000162461	SLC25A34	NA	SLC25A34
ENSG00000162460	TMEM82	NA	TMEM82
ENSG00000162458	FBLIM1	NA	FBLIM1
ENSG00000224321	RPL12P14	NA	RPL12P14
ENSG00000233954	UQCRHL	NA	UQCRHL
ENSG00000179743	FLJ37453	NA	FLJ37453
ENSG00000065526	SPEN	NA	SPEN
ENSG00000116809	ZBTB17	NA	ZBTB17
ENSG00000224966	TBC1D3P6	NA	TBC1D3P6
ENSG00000173641	HSPB7	NA	HSPB7
ENSG00000186510	CLCNKA	NA	CLCNKA
ENSG00000184908	CLCNKB	NA	CLCNKB
ENSG00000185519	FAM131C	NA	FAM131C
ENSG00000142627	EPHA2	NA	EPHA2
ENSG00000234166	ARHGEF19-AS1	NA	ARHGEF19-AS1
ENSG00000142632	ARHGEF19	NA	ARHGEF19
ENSG00000237276	ANO7L1	NA	ANO7L1
ENSG00000233929	MT1XP1	NA	MT1XP1
ENSG00000037637	FBXO42	NA	FBXO42
ENSG00000055070	SZRD1	NA	SZRD1
ENSG00000187144	SPATA21	NA	SPATA21
ENSG00000157191	NECAP2	NA	NECAP2
ENSG00000226029	LINC01772	NA	LINC01772
ENSG00000080947	CROCCP3	NA	CROCCP3
ENSG00000206652	RNU1-1	NA	RNU1-1
ENSG00000233421	LINC01783	NA	LINC01783
ENSG00000277344	RNU1-6P	NA	RNU1-6P
ENSG00000268991	FAM231B	NA	FAM231B
ENSG00000219481	NBPF1	NA	NBPF1
ENSG00000215908	CROCCP2	NA	CROCCP2
ENSG00000186301	MST1P2	NA	MST1P2
ENSG00000207513	RNU1-3	NA	RNU1-3
ENSG00000237847	FAM231A	NA	FAM231A
ENSG00000236698	EIF1AXP1	NA	EIF1AXP1
ENSG00000268869	ESPNP	NA	ESPNP
ENSG00000279132	FAM231C	NA	FAM231C
ENSG00000058453	CROCC	NA	CROCC
ENSG00000227684	CROCCP4	NA	CROCCP4
ENSG00000207389	RNU1-4	NA	RNU1-4
ENSG00000186715	MST1L	NA	MST1L
ENSG00000263811	MIR3675	NA	MIR3675
ENSG00000277234	RNU1-5P	NA	RNU1-5P
ENSG00000207005	RNU1-2	NA	RNU1-2
ENSG00000117122	MFAP2	NA	MFAP2
ENSG00000159363	ATP13A2	NA	ATP13A2
ENSG00000117118	SDHB	NA	SDHB
ENSG00000117115	PADI2	NA	PADI2
ENSG00000142623	PADI1	NA	PADI1
ENSG00000142619	PADI3	NA	PADI3
ENSG00000266634	MIR3972	NA	MIR3972
ENSG00000159339	PADI4	NA	PADI4
ENSG00000276747	PADI6	NA	PADI6
ENSG00000179051	RCC2	NA	RCC2
ENSG00000074964	ARHGEF10L	NA	ARHGEF10L
ENSG00000117148	ACTL8	NA	ACTL8
ENSG00000261781	LINC01654	NA	LINC01654
ENSG00000117154	IGSF21	NA	IGSF21
ENSG00000179023	KLHDC7A	NA	KLHDC7A
ENSG00000235282	DYNLL1P3	NA	DYNLL1P3
ENSG00000009709	PAX7	NA	PAX7
ENSG00000179002	TAS1R2	NA	TAS1R2
ENSG00000255275	AL080251.1	NA	AL080251.1
ENSG00000159423	ALDH4A1	NA	ALDH4A1
ENSG00000265606	MIR4695	NA	MIR4695
ENSG00000221662	MIR1290	NA	MIR1290
ENSG00000169991	IFFO2	NA	IFFO2
ENSG00000127481	UBR4	NA	UBR4
ENSG00000127463	EMC1	NA	EMC1
ENSG00000053372	MRTO4	NA	MRTO4
ENSG00000211454	AKR7L	NA	AKR7L
ENSG00000162482	AKR7A3	NA	AKR7A3
ENSG00000053371	AKR7A2	NA	AKR7A2
ENSG00000200403	RNU6-1099P	NA	RNU6-1099P
ENSG00000077549	CAPZB	NA	CAPZB
ENSG00000240490	RN7SL277P	NA	RN7SL277P
ENSG00000201609	RNU4-28P	NA	RNU4-28P
ENSG00000158747	NBL1	NA	NBL1
ENSG00000158748	HTR6	NA	HTR6
ENSG00000162542	TMCO4	NA	TMCO4
ENSG00000178828	RNF186	NA	RNF186
ENSG00000169914	OTUD3	NA	OTUD3
ENSG00000188784	PLA2G2E	NA	PLA2G2E
ENSG00000242688	RN7SL304P	NA	RN7SL304P
ENSG00000188257	PLA2G2A	NA	PLA2G2A
ENSG00000127472	PLA2G5	NA	PLA2G5
ENSG00000117215	PLA2G2D	NA	PLA2G2D
ENSG00000158786	PLA2G2F	NA	PLA2G2F
ENSG00000187980	PLA2G2C	NA	PLA2G2C
ENSG00000225986	UBXN10-AS1	NA	UBXN10-AS1
ENSG00000162543	UBXN10	NA	UBXN10
ENSG00000228105	LINC01757	NA	LINC01757
ENSG00000158816	VWA5B1	NA	VWA5B1
ENSG00000236963	LINC01141	NA	LINC01141
ENSG00000162545	CAMK2N1	NA	CAMK2N1
ENSG00000090432	MUL1	NA	MUL1
ENSG00000215520	RPS4XP4	NA	RPS4XP4
ENSG00000183114	FAM43B	NA	FAM43B
ENSG00000158825	CDA	NA	CDA
ENSG00000158828	PINK1	NA	PINK1
ENSG00000284005	MIR6084	NA	MIR6084
ENSG00000117242	PINK1-AS	NA	PINK1-AS
ENSG00000244038	DDOST	NA	DDOST
ENSG00000117245	KIF17	NA	KIF17
ENSG00000189410	SH2D5	NA	SH2D5
ENSG00000127483	HP1BP3	NA	HP1BP3
ENSG00000075151	EIF4G3	NA	EIF4G3
ENSG00000251914	RNU7-200P	NA	RNU7-200P
ENSG00000221808	MIR1256	NA	MIR1256
ENSG00000233072	RPS15AP6	NA	RPS15AP6
ENSG00000235112	HSPE1P27	NA	HSPE1P27
ENSG00000117298	ECE1	NA	ECE1
ENSG00000236216	PPP1R11P1	NA	PPP1R11P1
ENSG00000227001	NBPF2P	NA	NBPF2P
ENSG00000187952	HS6ST1P1	NA	HS6ST1P1
ENSG00000186543	CROCCP5	NA	CROCCP5
ENSG00000142794	NBPF3	NA	NBPF3
ENSG00000176378	PFN1P10	NA	PFN1P10
ENSG00000162551	ALPL	NA	ALPL
ENSG00000076864	RAP1GAP	NA	RAP1GAP
ENSG00000090686	USP48	NA	USP48
ENSG00000187942	LDLRAD2	NA	LDLRAD2
ENSG00000142798	HSPG2	NA	HSPG2
ENSG00000219073	CELA3B	NA	CELA3B
ENSG00000273610	RN7SL386P	NA	RN7SL386P
ENSG00000201919	RNU6-1022P	NA	RNU6-1022P
ENSG00000142789	CELA3A	NA	CELA3A
ENSG00000278124	RN7SL186P	NA	RN7SL186P
ENSG00000201273	RNU6-776P	NA	RNU6-776P
ENSG00000228397	LINC01635	NA	LINC01635
ENSG00000218510	LINC00339	NA	LINC00339
ENSG00000070831	CDC42	NA	CDC42
ENSG00000230068	CDC42-IT1	NA	CDC42-IT1
ENSG00000271840	AL031281.2	NA	AL031281.2
ENSG00000162552	WNT4	NA	WNT4
ENSG00000266564	MIR4418	NA	MIR4418
ENSG00000184677	ZBTB40	NA	ZBTB40
ENSG00000237200	ZBTB40-IT1	NA	ZBTB40-IT1
ENSG00000070886	EPHA8	NA	EPHA8
ENSG00000276835	MIR6127	NA	MIR6127
ENSG00000173372	C1QA	NA	C1QA
ENSG00000159189	C1QC	NA	C1QC
ENSG00000173369	C1QB	NA	C1QB
ENSG00000133216	EPHB2	NA	EPHB2
ENSG00000265422	MIR4684	NA	MIR4684
ENSG00000264014	MIR4253	NA	MIR4253
ENSG00000215906	LACTBL1	NA	LACTBL1
ENSG00000227868	TEX46	NA	TEX46
ENSG00000004487	KDM1A	NA	KDM1A
ENSG00000263793	MIR3115	NA	MIR3115
ENSG00000169641	LUZP1	NA	LUZP1
ENSG00000206935	RNU6-514P	NA	RNU6-514P
ENSG00000252578	RNU6-135P	NA	RNU6-135P
ENSG00000179546	HTR1D	NA	HTR1D
ENSG00000261326	LINC01355	NA	LINC01355
ENSG00000125944	HNRNPR	NA	HNRNPR
ENSG00000125945	ZNF436	NA	ZNF436
ENSG00000249087	ZNF436-AS1	NA	ZNF436-AS1
ENSG00000201405	Y_RNA	NA	Y_RNA
ENSG00000204219	TCEA3	NA	TCEA3
ENSG00000088280	ASAP3	NA	ASAP3
ENSG00000007968	E2F2	NA	E2F2
ENSG00000117318	ID3	NA	ID3
ENSG00000197880	MDS2	NA	MDS2
ENSG00000142676	RPL11	NA	RPL11
ENSG00000011007	ELOA	NA	ELOA
ENSG00000236810	ELOA-AS1	NA	ELOA-AS1
ENSG00000057757	PITHD1	NA	PITHD1
ENSG00000011009	LYPLA2	NA	LYPLA2
ENSG00000117308	GALE	NA	GALE
ENSG00000117305	HMGCL	NA	HMGCL
ENSG00000179163	FUCA1	NA	FUCA1
ENSG00000188822	CNR2	NA	CNR2
ENSG00000229106	BTBD6P1	NA	BTBD6P1
ENSG00000264926	MIR378F	NA	MIR378F
ENSG00000189266	PNRC2	NA	PNRC2
ENSG00000188529	SRSF10	NA	SRSF10
ENSG00000142661	MYOM3	NA	MYOM3
ENSG00000142677	IL22RA1	NA	IL22RA1
ENSG00000185436	IFNLR1	NA	IFNLR1
ENSG00000158055	GRHL3	NA	GRHL3
ENSG00000001460	STPG1	NA	STPG1
ENSG00000001461	NIPAL3	NA	NIPAL3
ENSG00000117602	RCAN3	NA	RCAN3
ENSG00000184454	NCMAP	NA	NCMAP
ENSG00000239106	Y_RNA	NA	Y_RNA
ENSG00000133226	SRRM1	NA	SRRM1
ENSG00000169504	CLIC4	NA	CLIC4
ENSG00000238482	RNU6-1208P	NA	RNU6-1208P
ENSG00000020633	RUNX3	NA	RUNX3
ENSG00000278034	MIR6731	NA	MIR6731
ENSG00000264371	MIR4425	NA	MIR4425
ENSG00000117614	SYF2	NA	SYF2
ENSG00000117616	RSRP1	NA	RSRP1
ENSG00000187010	RHD	NA	RHD
ENSG00000224183	SDHDP6	NA	SDHDP6
ENSG00000183726	TMEM50A	NA	TMEM50A
ENSG00000188672	RHCE	NA	RHCE
ENSG00000157978	LDLRAP1	NA	LDLRAP1
ENSG00000117643	MAN1C1	NA	MAN1C1
ENSG00000162430	SELENON	NA	SELENON
ENSG00000117640	MTFR1L	NA	MTFR1L
ENSG00000127423	AUNIP	NA	AUNIP
ENSG00000182749	PAQR7	NA	PAQR7
ENSG00000207302	Y_RNA	NA	Y_RNA
ENSG00000117632	STMN1	NA	STMN1
ENSG00000229786	SNRPFP2	NA	SNRPFP2
ENSG00000283938	MIR3917	NA	MIR3917
ENSG00000158006	PAFAH2	NA	PAFAH2
ENSG00000207237	RNU6-110P	NA	RNU6-110P
ENSG00000158008	EXTL1	NA	EXTL1
ENSG00000158014	SLC30A2	NA	SLC30A2
ENSG00000158022	TRIM63	NA	TRIM63
