Abbrevation_internal	Abbrevation	OPC_molecular_subtype	Color_code	Molecular_superfamily	Molecular_family	Molecular_class	Molecular_subclass	description
EP300_BCOR	CNS_BCOR_FUS		#5987c0	Other CNS embryonal tumours	CNS BCOR-altered tumours	CNS tumour with EP300:BCOR(L1) fusion	CNS tumour with EP300:BCOR(L1) fusion	The "mc CNS tumour with BCOR/BCORL1 fusion" is a new methylation class. Pathological , clinical and further molecular evaluation is under investigation.
HGNET_BCOR	CNS_BCOR_ITD	CNS BCOR	#739ACA	Other CNS embryonal tumours	CNS BCOR-altered tumours	neuroepithelial tumour with BCOR internal tandem duplication	CNS tumour with BCOR internal tandem duplication	The "mc CNS Tumour with BCOR internal tandem duplication" comprised malignant CNS tumours characterized by a predominantly solid growth pattern, uniform oval or spindle-shaped cells with round to oval nuclei, a dense capillary network, focal pseudorosette formation, and an ITD in exon 15 of the BCOR gene. The median age at presentation of reported patients is 3.5 years (range: 0–22 years). These tumours most commonly occur in a cerebral or cerebellar hemisphere.
CNS_NB_FOXR2	CNS_NB_FOXR2	CNS NB-FOXR2	#518ccb	Other CNS embryonal tumours	CNS neuroblastoma, FOXR2-altered	CNS neuroblastoma, FOXR2-altered	CNS neuroblastoma, FOXR2-altered	The "mc CNS neuroblastoma, FOXR2-activated" typically displays embryonal histology and a small-cell phenotype. All tumours have a supratentorial location; median age is 6 years (range 2 to 16). Gain of chromosome 1q (>80%) and focal or total loss of 16q (>60%) are characteristic copy-number alterations. Molecularly, these tumours show activation of transcription factor FOXR2 by various structural rearrangements.
EFT_CIC	CNS_SARC_CIC		#955C9D	Mesenchymal, non-meningothelial tumours involving the CNS	Tumours of uncertain differentiation	CIC-rearranged sarcoma	CIC-rearranged sarcoma	The "mc CIC rearranged sarcoma" corresponds to  CIC-rearranged sarcoma preferably arising in adolescents and young adults. Different fusion partners with CIC may account for subtypes of this tumor type.
CNS_SCS_DICER	CNS_SARC_DICER		#cb61eb	Mesenchymal, non-meningothelial tumours involving the CNS	Tumours of uncertain differentiation	Primary intracranial sarcoma, DICER1-mutant	Primary intracranial sarcoma, DICER1-mutant	The "mc primary intracranial sarcoma, DICER1-mutant"  comprises intracranial tumours with the histological diagnosis of malignant CNS sarcoma / tumour not otherwise specified. Median age is 7 years (age range 0 to 76). The molecular hallmark of this class are DICER1 mutations (>90%), either somatic or inherited, often together with MAPK pathway alterations (>70%). Copy number profiles range from relatively flat to complex. Rhabdomyosarcoma of the genitourinary tract with DICER1 mutations may also assign to this methylation class.
VGLL	CNS_SCHW_VGLL		#ff904d	Cranial and paraspinal nerve tumours	schwann-cell tumours	CNS Schwannoma, VGLL-fused	CNS Schwannoma, VGLL-fused	The "mc CNS Schwannoma, VGLL-fused" represents a very rare group of intracranial tumours with morphological and immunohistochemical features of schwannoma. These tumours often display fusions of the VGLL gene family (VGLL2 or VGLL3), which have also been reported for a subset of peripheral schwannoma. This mc is a provisional class, which is still being further characterized.
CPC_B	CPC_AD		#86492d	choroid plexus tumours	choroid plexus tumours	choroid plexus carcinoma	Choroid plexus carcinoma, adult subtype	The "mf choroid plexus carcinoma," comprises the methylation classes "mc choroid plexus carcinoma, paediatric subtype" and  "mc choroid plexus carcinoma, adult subtype". Subtyping is under investigation.
CPC	CPC_PED		#754027	choroid plexus tumours	choroid plexus tumours	choroid plexus carcinoma	Choroid plexus carcinoma, pediatric subtype	The "mf choroid plexus carcinoma," comprises the methylation classes "mc choroid plexus carcinoma, paediatric subtype" and  "mc choroid plexus carcinoma, adult subtype". Subtyping is under investigation.
CPH_ADM	CPH_ADM	CRANIO, ADAM	#72D4C8	tumours of the sellar region	craniopharyngioma	adamantinomatous craniopharyngioma	Adamantinomatous craniopharyngioma	The "mc adamantinomatous craniopharyngioma" exclusively comprises tumors with the histological diagnosis of adamantinomatous craniopharyngioma. These tumors are located in the vicinity of the pituitary gland. There is a bimodal age distribution, with peaks in early childhood and at around 50 years of age; median age is 37 years (range 3 to 66). Molecularly, these tumors are characterized by mutations in beta catenin (CTNNB1) and activation of the WNT and SHH signaling pathways. Recurrent chromosomal alterations are not observed and most cases show a flat profile in copy number analysis.
CPH_PAP	CPH_PAP		#43DAD7	tumours of the sellar region	craniopharyngioma	papillary craniopharyngioma	Papillary craniopharyngioma	The "mc papillary craniopharyngioma" exclusively comprises tumors with the histological diagnosis of papillary craniopharyngioma. These tumors are located in the vicinity of the pituitary gland; median age is 46.5 years (range 23 to 69). Molecularly, these tumors are characterized by mutations in BRAF (V600E) and activation of the MAPK signaling pathway. Recurrent chromosomal alterations are not observed and most cases show a flat profile in copy number analysis. Prediction of "mc craniopharyngioma, papillary" should be based on a calibrated score > 0.95.
CPP_AD	CPP_AD		#7B3E0A	choroid plexus tumours	choroid plexus tumours	choroid plexus papilloma	Choroid plexus papilloma, adult subtype	The "mf choroid plexus papilloma," comprises the methylation classes "mc choroid plexus papilloma, adult subtype" and  "mc choroid plexus papilloma, paediatric subtype". Subtyping is under investigation.
CPP_INF	CPP_PED		#9D5723	choroid plexus tumours	choroid plexus tumours	choroid plexus papilloma	Choroid plexus papilloma, pediatric subtype	The "mf choroid plexus papilloma," comprises the methylation classes "mc choroid plexus papilloma, adult subtype" and  "mc choroid plexus papilloma, paediatric subtype". Subtyping is under investigation.
CRINET	CRINET		#000066	Other CNS embryonal tumours	cribriform neuroepithelial tumour	cribriform neuroepithelial tumour	Cribriform neuroepithelial tumour	The "mc Cribriform neuroepithelial tumour" represents a non-rhabdoid neuroectodermal tumour, histologically showing cribriform strands and ribbons. These tumours show genetic inactivation of SMARCB1, including some cases with germline SMARCB1 alterations. The methylation profile of this mc is highly related to that of atypical teratoid / rhabdoid tumour. This mc is a provisional class, which is still being further characterized.
NORM_ADENOPIT	CTRL_ADENOPIT	NA	#D3D3D3	Control tissues	control brain tissues	Control tissue, pituitary gland (anterior lobe)	Control tissue, pituitary gland (anterior lobe)	The "msc ontrol tissue, pituitary gland anterior lobe" is comprised of normal tissue samples from this specific anatomic structure. In case tumour samples display this molecular pattern, it is typically an indication of low tumour cell content in the analyzed material and indicates that the extracted DNA is likely not suitable for classification by methylation profiling.
CTRL_BLOOD	CTRL_BLOOD	NA	#595959	Control tissues	control tissue, blood	control tissue, blood	Control tissue, blood	The "mc Control tissue, blood" represents the methylation profile of normal white blood cells.
NORM_CBM	CTRL_CBM	NA	#BDBDBD	Control tissues	control brain tissues	control tissue, cerebellar hemisphere	Control tissue, cerebellar hemisphere	The "msc control tissue, cerebellar hemisphere" is comprised of normal tissue samples from this specific anatomic structure. In case tumour samples display this molecular pattern, it is typically an indication of low tumour cell content in the analyzed material and indicates that the extracted DNA is likely not suitable for classification by methylation profiling.
NORM_CORPCAL	CTRL_CORPCAL	NA	#A8A8A8	Control tissues	control brain tissues	control tissue, white matter (corpus callosum)	Control tissue, white matter (corpus callosum)	The "msc control tissue, white matter" is comprised of normal tissue samples from this specific anatomic structure (corpus callosum). In case tumour samples display this molecular pattern, it is typically an indication of low tumour cell content in the analyzed material and indicates that the extracted DNA is likely not suitable for classification by methylation profiling.
NORM_HEMI	CTRL_HEMI	NA	#939393	Control tissues	control brain tissues	control tissue, hemispheric cortex	Control tissue, hemispheric cortex	The "msc control tissue, hemispheric cortex" is comprised of normal tissue samples from several different lobes of the cortex. In case tumour samples display this molecular pattern, it is typically an indication of low tumour cell content in the analyzed material and indicates that the extracted DNA is likely not suitable for classification by methylation profiling.
NORM_HYPOTHAL	CTRL_HYPOTHAL	NA	#7E7E7E	Control tissues	control brain tissues	control tissue, hypothalamus	Control tissue, hypothalamus	The "msc control tissue, hypothalamus" is comprised of normal tissue samples from this specific anatomic structure. In case tumour samples display this molecular pattern, it is typically an indication of low tumour cell content in the analyzed material and indicates that the extracted DNA is likely not suitable for classification by methylation profiling.
NORM_OPTIC	CTRL_OPTIC	NA	#a6a6a6	Control tissues	control brain tissues	control tissue, optic pathway	Control tissue, optic pathway	The "msc control tissue, optic pathway" is comprised of normal tissue samples from this specific anatomic structure. In case tumour samples display this molecular pattern, it is typically an indication of low tumour cell content in the analyzed material and indicates that the extracted DNA is likely not suitable for classification by methylation profiling.
NORM_PIN	CTRL_PIN	NA	#696969	pineal parenchymal and retinal tumour	normal pineal gland and pineocytoma	control tissue, pineal gland	Control tissue, pineal gland	The "msc control tissue, pineal gland" is comprised of normal tissue samples from this specific anatomic structure. In case tumour samples display this molecular pattern, it is typically an indication of low tumour cell content in the analyzed material and indicates that the extracted DNA is likely not suitable for classification by methylation profiling. For this mc specifically, epigenetic separation of pineocytoma and controll tissue, pineal gland may be challenging and imprecise.
NORM_PONS	CTRL_PONS	NA	#545454	Control tissues	control brain tissues	control tissue, pons	Control tissue, pons	The "msc control tissue, pons" is comprised of normal tissue samples from this specific anatomic structure. In case tumour samples display this molecular pattern, it is typically an indication of low tumour cell content in the analyzed material and indicates that the extracted DNA is likely not suitable for classification by methylation profiling.
GLIOMA_NORM_HI	CTRL_REACTIVE	NA	#D7D7D7	Control tissues	control tissue, reactive tumour microenvironment	control tissue, reactive tumour microenvironment	Control tissue, reactive tumour microenvironment	The "mc Control tissue, reactive tumour microenvironment" does not represent a distinct tumour class but rather a recurrently observed methylation profile of unclear status. A score for this class indicates that the extracted DNA is likely not suitable for classification by methylation profiling. The cases constituting this class are mostly low grade tumours (gangliogliomas or pilocytic astrocytomas) but also some high grade tumours. The cases share low tumour cell content and frequently show strong reactive changes (high proportion of reactive glial cell and frequently pronounced lymphocytic infiltration). Depending on the content of tumour cell, copy number alterations may be masked.
DGONC	DGONC	GNT	#ff701a	Low-grade glial/glioneuronal/neuroepithelial tumours	low-grade glioneuronal tumour	Diffuse glioneuronal tumour with oligodendroglioma-like features and nuclear clusters	Diffuse glioneuronal tumour with oligodendroglioma-like features and nuclear clusters	The "mc diffuse glioneuronal tumour with oligodendroglioma-like features and nuclear clusters (DGONC)" comprises tumours morphologically characterized by diffuse growth, frequently clear cell histology, and formation of clusters of nuclei, as described in PMID31867747 and 33325069. These tumours virtually all harbour monosomy of chromosome 14. The median age is 9 years, but cases up to an age of 75 years are reported.
GBM_G34	DHG_G34	HGG, H3 G35	#55C056	Paediatric-type diffuse high-grade gliomas	Diffuse pediatric-type high-grade glioma, H3-wildtype and IDH-wildtype	Diffuse hemispheric glioma, H3 G34-mutant	Diffuse hemispheric glioma, H3 G34-mutant	The "mc Diffuse hemispheric glioma, H3 G34-mutant"  is an infiltrative glioma (WHO grade IV) involving the cerebral hemispheres, with missense mutation of the H3-3A gene that results in one of the following substitutions of the histone H3 protein: c.103G>A p.G35R (G34R), c.103G>C p.G35R (G34R), or c.104G>T p.G35V (G34V). H3 G34–mutant diffuse hemispheric gliomas typically affect adolescents and young adults (median age:15–19 years). In addition to the histone mutation, about 90% of tumours bear TP53 mutations and approximately 95% have alterations in the ATRX gene.  Copy number changes are numerous, with gain of 1q and 7 (>40% of cases) and (focal) loss of 4q, 10q and 13 (each in over 40%) being most frequent.
DIG	DIG_DIA	GNT	#cd4d00	Low-grade glial/glioneuronal/neuroepithelial tumours	low-grade ganglioglial/neuroepithelial tumour	desmoplastic infantile ganglioglioma/astrocytoma	Desmoplastic infantile ganglioglioma / desmoplastic infantile astrocytoma	The "mc desmoplastic infantile ganglioglioma / desmoplastic infantile astrocytoma" mostly comprises tumors histologically resembling desmoplastic infantile gliomas. These tumors are located supratentorially, and patients are typically below 3 years of age at presentation; median age is 1 year (age range 0 to 11). Typical molecular features of this class are not currently known, although occasional BRAF V600E mutations have been reported. Recurrent chromosomal alterations are not observed and most cases show a flat profile in copy number analysis.
PCNSL_DLB	DLBCL		#3C1B46	Haematolymphoid tumours involving the CNS	B cell neoplasm	Primary diffuse large B cell lymphoma of the CNS	Primary diffuse large B cell lymphoma of the CNS	The "msc Primary diffuse large B cell lymphoma of the CNS" comprises brain manifestations of Diffuse large B-cell lymphoma. This class is included as a diagnostically relevant differential diagnosis to various brain tumours. Other types of lymphomas or other lymphocyte rich processes may likely also be classified into this class. Loss/partial loss of chromosome 6q (60%) is the most frequent copy number alteration.
DLGNT_1	DLGNT_1	GNT, MAPK	#d1723a	Low-grade glial/glioneuronal/neuroepithelial tumours	diffuse glioneuronal tumours	diffuse leptomeningeal glioneuronal tumour	Diffuse leptomeningeal glioneuronal tumour, subclass 1	The "mc diffuse leptomeningeal glioneuronal tumour (DLGNT), subtype 1" is molecularly characterized by chromosome arm 1p deletion and a mitogen-activated protein kinase (MAPK) pathway gene alteration, most commonly KIAA1549::BRAF fusion. The most frequent initial location is spinal. In the course of the disease dissemination along the leptomeninges is frequent. Supratentorial tumour nodule formation is also possible. Median age is 13 years (range 5 to 39). Typical copy number changes are a loss of 1p (>90%) and occasionally a combined loss of 1p/19q (40%) co-occurring with BRAF duplication (BRAF fusion). IDH1/2 mutations are not observed. Subtype-1 more frequently harbours 1p/19q deletions, occur at lower age  (median 5 years vs 14 years) and are typically cinically less aggressive than subtype-2 DLGNT (PMID29766299).
DLGNT_2	DLGNT_2	GNT, MAPK	#ba602b	diffuse glioneuronal tumours	diffuse glioneuronal tumours	diffuse leptomeningeal glioneuronal tumour	Diffuse leptomeningeal glioneuronal tumour, subclass 2	The "mc diffuse leptomeningeal glioneuronal tumour (DLGNT), subtype 2" is molecularly characterized by chromosome arm 1p deletion and a mitogen-activated protein kinase (MAPK) pathway gene alteration, most commonly KIAA1549::BRAF fusion. The most frequent initial location is spinal. In the course of the disease dissemination along the leptomeninges is frequent. Supratentorial tumour nodule formation is also possible. Median age is 13 years (range 5 to 39). Typical copy number changes are a loss of 1p (>90%) and occasionally a combined loss of 1p/19q (40%) co-occurring with BRAF duplication (BRAF fusion). IDH1/2 mutations are not observed. Subtype-2 less frequently harbours 1p/19q deletions, arises in the higher ent of the age range and appears cinically more aggressive than subtype-1 DLGNT (PMID29766299).
GBM_THAL(K27)	DMG_EGFR	DMG, H3 K28	#14aa08	Paediatric-type diffuse high-grade gliomas	diffuse midline glioma, H3K27-altered	Diffuse midline glioma, H3 K27-altered, subtype EGFR-altered	Diffuse midline glioma, H3 K27-altered, subtype EGFR-altered	The "mc Diffuse midline glioma, H3 K27-altered, subtype EGFR-altered" is comprised of infiltrative midline gliomas with loss of H3 p.K28me3 (K27me3) and an EGFR mutation (CNS WHO grade 4). The EGFR-mutant subtype most often occurs during childhood, with a median patient age of 7–8 years and typically unilaterally or bilaterally in the thalamus. Most tumours harbour small in-frame insertions/duplications within exon 20, which encodes the intracellular tyrosine kinase domain (TKD), whereas others harbour missense mutations in exons encoding parts of the extracellular domain, most commonly p.A289T or p.A289V.
DMG_K27	DMG_K27	DMG, H3 K28	#a3f187	Paediatric-type diffuse high-grade gliomas	diffuse midline glioma, H3K27-altered	diffuse midline glioma, H3 K27-mutant / EZHIP overexpressing	Diffuse midline glioma, H3 K27-altered, subtype H3 K27-mutant or EZHIP expressing	The "mc diffuse midline glioma, H3 K27-altered, subtype H3 K27-mutant or EZHIP expressing" is comprised of tumors with a histological diagnosis of diffuse midline glioma, H3 K27M mutant. The tumors are located in midline structures (thalamus, cerebellum, brainstem, spine). Median age is 12 years (range 1 to 54). Tumors of this class harbor mutations of codon 27 in one of the genes encoding histone 3 (most commonly H3F3A, but also the H3.1 genes HIST1H3A/B/C and very rarely H3.2). Few cases without H3 mutation show EZHIP overexpression. Additional mutations in ATRX and TP53/PPM1D are common. In brainstem tumors, ACVR1 mutations are also recurrently observed. Prognosis of this class is generally very poor, although rare lower grade lesions with K27M mutation have also been reported
DNET	DNET	GNT	#CB5216	Low-grade glial/glioneuronal/neuroepithelial tumours	low-grade glioneuronal tumour	dysembryoplastic neuroepithelial tumour	Dysembryoplastic neuroepithelial tumour	The "mc dysembryoplastic neuroepithelial tumour" comprises tumors with the histological diagnosis dysembryoplastic neuroepithelial tumor and rarely other low grade glioma histology. All cases are located supratentorially and mostly in the temporal or frontal cortex; median age is 18 years (age range 3 to 73). Alterations of FGFR1 are a relatively common feature of this class. Recurrent chromosomal alterations are not observed and most cases show a flat profile in copy number analysis.
EPN_MPE	EPN_MPE	EPN, MPE	#B90F38	Ependymal tumours	myxopapillary ependymoma	myxopapillary ependymoma	Myxopapillary ependymoma	The "mc myxopapillary ependymoma" mainly comprises tumors with the histological diagnosis myxopapillary ependymoma and to a lesser extent ependymomas with classical or rarely tanycytic histology. The vast majority of tumors have a lumbar spinal location. Median age is 37.5 years (range 16 to 75). Additional characteristic molecular features of this class are not known to date. Numeric whole chromosome changes are frequent in this class, with gain of chromosome 5, 7, 9, 16 and 18 each in over 50% of cases
EPN_PF_SE	EPN_PF_SE		#DD052E	Ependymal tumours	posterior fossa ependymoma group B & posterior fossa subependymoma	posterior fossa subependymoma	Posterior fossa subependymoma	The "mc subependymoma, posterior fossa" mainly comprises tumors with the histological diagnosis of subependymoma and to a lesser extent tumors with the histological appearance of classical ependymoma. All cases are located in the posterior fossa; an extension into the 4th ventricle is frequent. Median age is 56 years (range 33 to 76). Copy number alterations are scarce, with loss of chromosome 6 and Y (both in around 20% of cases) being most frequent. Additional characteristic molecular features of this class are not known
PFA-1a	EPN_PFA_1A	EPN, PF A	#ffb3cb	Ependymal tumours	posterior fossa ependymoma group A	posterior fossa ependymoma group A1	Posterior fossa group A (PFA) ependymoma, subclass 1a	The "mf Posterior fossa group A (PFA) ependymoma" comprises the methylation classes posterior fossa ependymoma group A1 and A2 with their provisional molecular subclasses 1a-f and 2a-c, respectively. They represent the molecularly rendered tumor type of PFA ependymomas, histologically typically demonstrating pseudorosettes or ependymal rosettes and comprising uniform small cells with round nuclei embedded in a fibrillary matrix. They typically show a loss of nuclear H3 p.K28me3 (K27me3) expression in tumour cells.
PFA-1b	EPN_PFA_1B	EPN, PF A	#fe80a8	Ependymal tumours	posterior fossa ependymoma group A	posterior fossa ependymoma group A1	Posterior fossa group A (PFA) ependymoma, subclass 1b	The "mf Posterior fossa group A (PFA) ependymoma" comprises the methylation classes posterior fossa ependymoma group A1 and A2 with their provisional molecular subclasses 1a-f and 2a-c, respectively. They represent the molecularly rendered tumor type of PFA ependymomas, histologically typically demonstrating pseudorosettes or ependymal rosettes and comprising uniform small cells with round nuclei embedded in a fibrillary matrix. They typically show a loss of nuclear H3 p.K28me3 (K27me3) expression in tumour cells.
PFA-1c	EPN_PFA_1C	EPN, PF A	#fe4d86	Ependymal tumours	posterior fossa ependymoma group A	posterior fossa ependymoma group A1	Posterior fossa group A (PFA) ependymoma, subclass 1c	The "mf Posterior fossa group A (PFA) ependymoma" comprises the methylation classes posterior fossa ependymoma group A1 and A2 with their provisional molecular subclasses 1a-f and 2a-c, respectively. They represent the molecularly rendered tumor type of PFA ependymomas, histologically typically demonstrating pseudorosettes or ependymal rosettes and comprising uniform small cells with round nuclei embedded in a fibrillary matrix. They typically show a loss of nuclear H3 p.K28me3 (K27me3) expression in tumour cells.
PFA-1d	EPN_PFA_1D	EPN, PF A	#fe1b63	Ependymal tumours	posterior fossa ependymoma group A	posterior fossa ependymoma group A1	Posterior fossa group A (PFA) ependymoma, subclass 1d	The "mf Posterior fossa group A (PFA) ependymoma" comprises the methylation classes posterior fossa ependymoma group A1 and A2 with their provisional molecular subclasses 1a-f and 2a-c, respectively. They represent the molecularly rendered tumor type of PFA ependymomas, histologically typically demonstrating pseudorosettes or ependymal rosettes and comprising uniform small cells with round nuclei embedded in a fibrillary matrix. They typically show a loss of nuclear H3 p.K28me3 (K27me3) expression in tumour cells.
