Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	Missense_Mutation	Nonsense_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples	n_samples	altered_sample_percentage
ALKAL1	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
ALMS1	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
AMY1C	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
ANXA9	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
AP002512.3	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
ARHGAP39	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
ARIH2OS	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
ASPM	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
ATP2A3	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
B4GALT2	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
BANP	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
BCL6	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
BRI3BP	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
C3	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
CADM4	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
CAPN6	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
CASZ1	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
CBWD5	0	0	0	0	1	0	0	1	1	1	13	7.6923076923076925
CEACAM5	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
CHM	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
CHUK	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
CKAP5	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
CNTNAP3	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
COX10	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
DDX10	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
DGKK	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
DHX8	0	0	0	0	1	0	0	1	1	1	13	7.6923076923076925
DNAH1	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
DNAH11	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
DNAJC7	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
DNHD1	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
DOK2	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
DROSHA	0	0	0	0	1	0	0	1	1	1	13	7.6923076923076925
DSP	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
DUSP27	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
EFCAB12	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
EIF1AX	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
ELAVL2	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
ELF4	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
EMD	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
EVI5L	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
EYS	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
FAM120AOS	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
FBXW10	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
FLG2	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
GBP5	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
GLMN	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
GMPPB	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
GPD1L	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
GTF3C2	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
GTF3C4	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
GZF1	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
HERC1	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
HIST1H3B	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
HIST1H3C	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
HTATIP2	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
IGHA1	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
IGHMBP2	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
IRX1	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
ISG20L2	1	0	0	0	0	0	0	1	1	1	13	7.6923076923076925
ISYNA1	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
ITGA1	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
KAT6B	1	0	0	0	0	0	0	1	1	1	13	7.6923076923076925
KCNH5	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
KCNT2	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
KIAA0319L	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
KIAA1549	1	0	0	0	0	0	0	1	1	1	13	7.6923076923076925
KLHL41	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
KPRP	0	0	0	0	1	0	0	1	1	1	13	7.6923076923076925
KRT5	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
LARS2	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
LDAH	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
MAX	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
MDN1	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
MEX3C	0	0	0	0	0	1	0	1	1	1	13	7.6923076923076925
MIDN	0	0	0	0	0	0	1	1	1	1	13	7.6923076923076925
MLIP	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
MT-ND2	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
MUC5AC	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
MYCBP2	0	0	0	0	0	1	0	1	1	1	13	7.6923076923076925
MYO15A	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
MYO15B	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
NBPF12	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
NBPF19	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
NCKAP1L	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
NDUFB4	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
NHS	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
NOS2	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
NRXN2	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
NUDT12	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
NUP210L	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
NXF1	0	0	0	0	1	0	0	1	1	1	13	7.6923076923076925
OLFM1	1	0	0	0	0	0	0	1	1	1	13	7.6923076923076925
OLIG1	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
OR10A5	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
OR10W1	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
OR1I1	0	0	0	0	0	1	0	1	1	1	13	7.6923076923076925
OR4C45	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
OR5T1	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
OR6M1	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
OR8H3	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
OTOP1	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
PCDHA1	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
PDE6A	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
PEX1	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
PIK3C2B	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
PIK3CA	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
PIK3R1	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
PLEKHA6	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
PLEKHH3	1	0	0	0	0	0	0	1	1	1	13	7.6923076923076925
PPFIA1	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
PPP6R1	1	0	0	0	0	0	0	1	1	1	13	7.6923076923076925
PRDM9	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
PRF1	0	0	0	0	1	0	0	1	1	1	13	7.6923076923076925
PRKCI	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
PSG7	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
PTH2	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
PTPN20	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
PTPRF	0	0	0	0	0	1	0	1	1	1	13	7.6923076923076925
RAB17	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
RAMP2	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
RINT1	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
RPP30	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
RYR1	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
SEC24B	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
SEMG2	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
SFMBT2	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
SIPA1L2	0	0	0	0	1	0	0	1	1	1	13	7.6923076923076925
SLC20A1	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
SLIT3	0	0	0	0	1	0	0	1	1	1	13	7.6923076923076925
SMCP	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
SMR3A	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
SON	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
SOWAHB	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
SOWAHD	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
SP8	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
SPTBN1	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
SRRM5	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
ST7	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
STARD13	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
SV2A	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
SYT16	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
TAS2R40	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
TBC1D32	0	0	0	0	0	1	0	1	1	1	13	7.6923076923076925
TBX21	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
TBXA2R	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
TNRC6C	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
TRIM22	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
TRIM55	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
TRIM58	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
TRPM1	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
TSPYL2	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
TUBAL3	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
UBQLN3	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
UNC45B	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
USP40	0	0	0	0	1	0	0	1	1	1	13	7.6923076923076925
USP42	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
WDR44	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
XRN1	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
ZC3H13	1	0	0	0	0	0	0	1	1	1	13	7.6923076923076925
ZEB1	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
ZFHX3	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
ZNF207	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
ZNF442	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
ZNF517	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
