Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	Missense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples	n_samples	altered_sample_percentage
MT-ND4	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
NBPF10	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
NBPF9	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
NCOA6	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
NEDD4L	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
NEIL1	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
NFKBIE	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
NOXO1	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
NPTX2	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
NRXN1	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
OTOP1	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
PARD6B	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
PCDH8	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
PCDHB4	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
PCTP	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
PGBD5	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
PKDREJ	1	0	0	0	0	0	0	1	1	1	17	5.88235294117647
PLA2G12A	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
PLBD2	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
PM20D2	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
POGLUT1	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
POTEA	1	0	0	0	0	0	0	1	1	1	17	5.88235294117647
PPBP	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
PPM1H	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
PPP1R3F	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
PRDM10	0	0	1	0	0	0	0	1	1	1	17	5.88235294117647
PRDM13	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
PROSER2	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
PRR12	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
PRSS12	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
PTP4A2	0	0	0	0	0	1	0	1	1	1	17	5.88235294117647
PTPRJ	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
RAB38	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
RAI1	0	0	0	0	0	1	0	1	1	1	17	5.88235294117647
RMI2	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
RSBN1L	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
RUNX1T1	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
SASH1	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
SHANK1	0	0	0	0	0	1	0	1	1	1	17	5.88235294117647
SKOR2	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
SLC22A9	0	1	0	0	0	0	0	1	1	1	17	5.88235294117647
SOX1	1	0	0	0	0	0	0	1	1	1	17	5.88235294117647
SOX4	0	0	1	0	0	0	0	1	1	1	17	5.88235294117647
SPANXD	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
SPTBN4	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
SRF	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
SVEP1	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
SYNE2	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
TANC2	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
TCHH	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
TMEM102	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
TNFRSF12A	0	0	0	0	0	1	0	1	1	1	17	5.88235294117647
TTLL7	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
ULK1	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
UQCR11	0	0	0	0	0	1	0	1	1	1	17	5.88235294117647
USP2	0	0	0	0	0	1	0	1	1	1	17	5.88235294117647
VPS35L	0	0	1	0	0	0	0	1	1	1	17	5.88235294117647
VWA5B2	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
ZBTB24	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
ZDHHC4	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
ZDHHC9	0	0	0	0	0	1	0	1	1	1	17	5.88235294117647
ZNF208	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
ZNF263	1	0	0	0	0	0	0	1	1	1	17	5.88235294117647
ZNF333	0	0	1	0	0	0	0	1	1	1	17	5.88235294117647
ZNF337	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
ZNF43	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
ZNF493	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
ZNF679	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
ZNF716	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
ZNF761	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
ZNF783	0	0	0	1	0	0	0	1	1	1	17	5.88235294117647
