Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples	n_samples	altered_sample_percentage
ANKRD44	0	0	0	0	0	1	0	0	1	1	1	13	7.6923076923076925
ATF3	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
BAHCC1	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
BARX2	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
C12orf45	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
C21orf2	0	0	0	0	0	0	1	0	1	1	1	13	7.6923076923076925
CACNA1S	0	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
CARD10	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
CENPB	0	0	0	0	0	0	0	1	1	1	1	13	7.6923076923076925
CENPE	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
CFAP74	0	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
CNGB3	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
COL4A2	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
CRTAM	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
CSDC2	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
CSF2RB	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
CXCL3	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
CYR61	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
DDX20	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
DENND1A	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
DENND5A	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
DMXL2	1	0	0	0	0	0	0	0	1	1	1	13	7.6923076923076925
DNAH11	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
DNAH5	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
DNAH7	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
DNAJB8	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
DPAGT1	0	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
DRC7	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
DUSP10	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
E2F2	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
EIF1AX	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
EIF5	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
ELAC1	0	0	0	0	0	0	1	0	1	1	1	13	7.6923076923076925
ENC1	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
F2R	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
FAM131C	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
FAM151B	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
FAM155A	1	0	0	0	0	0	0	0	1	1	1	13	7.6923076923076925
FAM241A	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
FOXC1	0	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
FTSJ3	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
GABPB2	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
GALNT11	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
GATA1	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
GDF11	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
GPR153	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
GPR34	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
GRIK4	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
GRINA	0	0	0	0	0	0	1	0	1	1	1	13	7.6923076923076925
HAVCR1	1	0	0	0	0	0	0	0	1	1	1	13	7.6923076923076925
HK2	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
HLA-A	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
HTRA2	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
IGHV3-21	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
IRX5	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
ITGA2	0	0	0	0	0	0	1	0	1	1	1	13	7.6923076923076925
ITPRIPL1	0	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
KAT6B	0	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
KCNQ2	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
KCNS2	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
KDR	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
KLHL28	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
KLHL33	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
LNX2	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
LRRD1	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
MAP1B	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
MAPKBP1	0	0	0	0	0	0	1	0	1	1	1	13	7.6923076923076925
MCM4	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
MLYCD	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
MPO	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
MSS51	1	0	0	0	0	0	0	0	1	1	1	13	7.6923076923076925
MT-CO1	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
MT-ND3	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
MT-ND5	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
MTTP	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
MYH1	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
MYO7B	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
NBR1	0	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
NEXMIF	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
NPIPB2	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
NR4A1	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
OR2M3	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
OR4C45	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
OTUD7A	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
PAX1	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
PCDH11X	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
PCNX2	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
PEAK1	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
PEAR1	0	0	0	0	0	0	1	0	1	1	1	13	7.6923076923076925
PER3	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
PHLPP1	0	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
PLA2G12A	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
PLA2G4A	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
PLEKHG5	0	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
PLIN1	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
POLG	1	0	0	0	0	0	0	0	1	1	1	13	7.6923076923076925
POLR3B	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
POM121L2	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
PRSS3	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
PXDNL	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
RAI1	0	0	0	0	0	0	1	0	1	1	1	13	7.6923076923076925
RANGAP1	0	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
RAPSN	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
RASSF6	0	0	0	0	1	0	0	0	1	1	1	13	7.6923076923076925
RGN	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
RGS22	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
RNF145	0	1	0	0	0	0	0	0	1	1	1	13	7.6923076923076925
RPS26P43	0	0	0	0	0	0	1	0	1	1	1	13	7.6923076923076925
RREB1	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
RSF1	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
RUVBL1	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
SALL2	0	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
SCNN1B	1	0	0	0	0	0	0	0	1	1	1	13	7.6923076923076925
SIDT2	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
SIK2	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
SLC10A4	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
SLC26A5	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
SLC45A1	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
SLF2	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
SPTBN5	0	0	0	0	0	0	1	0	1	1	1	13	7.6923076923076925
ST6GAL1	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
SUV39H1	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
SYDE2	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
SYNE1	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
TAF7	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
TFPI	1	0	0	0	0	0	0	0	1	1	1	13	7.6923076923076925
TGFBRAP1	0	0	0	0	0	0	1	0	1	1	1	13	7.6923076923076925
THEGL	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
TIGD5	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
TMEM132B	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
TMEM229A	0	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
TMEM259	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
TMTC3	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
TNFRSF4	1	0	0	0	0	0	0	0	1	1	1	13	7.6923076923076925
TOGARAM2	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
TPSAB1	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
TRAF7	0	0	0	0	0	0	1	0	1	1	1	13	7.6923076923076925
TRBV6-2	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
TRIOBP	0	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
TSC22D4	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
TUBB8	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
UGT1A5	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
USP49	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
ZAN	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
ZFP92	0	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
ZKSCAN1	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
ZNF799	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
ZNF837	0	0	1	0	0	0	0	0	1	1	1	13	7.6923076923076925
ZNF91	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
ZNF93	0	0	0	1	0	0	0	0	1	1	1	13	7.6923076923076925
