Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	Missense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples	n_samples	altered_sample_percentage
TANC2	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
TNFRSF12A	0	0	0	0	0	1	0	1	1	1	15	6.666666666666667
TTLL7	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
UQCR11	0	0	0	0	0	1	0	1	1	1	15	6.666666666666667
USP2	0	0	0	0	0	1	0	1	1	1	15	6.666666666666667
VPS35L	0	0	1	0	0	0	0	1	1	1	15	6.666666666666667
VWA5B2	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
ZBTB24	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
ZDHHC4	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
ZNF208	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
ZNF263	1	0	0	0	0	0	0	1	1	1	15	6.666666666666667
ZNF333	0	0	1	0	0	0	0	1	1	1	15	6.666666666666667
ZNF43	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
ZNF679	0	0	0	1	0	0	0	1	1	1	15	6.666666666666667
